noise_condition,dataset_type,k_features,feature_method,mean_accuracy,std_accuracy,selected_features_str
clean,original,20,advanced_stats,0.991304,0.017391,"R_std, R_var, R_min, R_cv, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_min, G_range, G_cv, G_p10, G_iqr, G_mad, G_grad_mean, B_min, B_cv, B_p10, B_grad_mean"
clean,original,20,advanced_stats,0.983333,0.033333,"R_std, R_var, R_range, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_range, G_cv, G_iqr, G_mad, G_grad_mean, B_mean, B_range, B_cv, B_p10, B_p25, B_p75, B_grad_mean"
clean,original,20,advanced_stats,1.0,0.0,"R_std, R_var, R_min, R_cv, R_p10, R_p25, R_iqr, R_mad, G_std, G_var, G_min, G_range, G_cv, G_iqr, G_mad, B_min, B_cv, B_p10, B_p25, B_iqr"
clean,original,20,hybrid,0.991304,0.017391,"R_std, R_var, R_min, R_cv, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_min, G_cv, G_iqr, G_mad, B_min, R_WST0_std, R_WST3_mean, R_WST18_mean, R_WST19_mean, G_WST0_std, G_WST18_mean"
clean,original,20,hybrid,0.975,0.020412,"R_std, R_var, R_mad, B_cv, R_WST0_std, R_WST2_mean, R_WST10_mean, R_WST13_mean, R_WST15_mean, G_WST2_mean, G_WST2_std, G_WST6_mean, G_WST14_mean, G_WST15_mean, B_WST1_mean, B_WST2_mean, B_WST5_std, B_WST10_std, B_WST15_mean, B_WST16_mean"
clean,original,20,hybrid,1.0,0.0,"R_std, R_var, R_min, R_cv, R_p10, R_p25, R_iqr, R_mad, G_std, G_var, G_min, G_range, G_iqr, G_mad, B_min, B_cv, B_p10, B_p25, B_iqr, R_WST0_std"
clean,original,20,wst,0.974275,0.034609,"R_std, G_std, R_WST0_std, R_WST1_mean, R_WST2_mean, R_WST3_mean, R_WST7_mean, R_WST9_mean, R_WST14_mean, R_WST15_mean, R_WST18_mean, R_WST19_mean, R_WST20_mean, G_WST0_std, G_WST1_mean, G_WST3_mean, G_WST18_mean, G_WST19_mean, B_WST1_mean, B_WST3_mean"
clean,original,20,wst,0.941667,0.056519,"R_std, R_WST0_std, R_WST2_mean, R_WST6_mean, R_WST10_mean, R_WST13_mean, R_WST15_mean, G_WST2_mean, G_WST2_std, G_WST6_mean, G_WST13_mean, G_WST14_mean, G_WST15_mean, B_WST1_mean, B_WST2_mean, B_WST5_std, B_WST6_std, B_WST10_std, B_WST15_mean, B_WST16_mean"
clean,original,20,wst,0.991667,0.016667,"R_mean, R_std, G_std, B_mean, B_std, R_WST0_mean, R_WST0_std, R_WST3_mean, R_WST4_mean, R_WST5_mean, R_WST8_mean, R_WST19_mean, R_WST20_mean, R_WST24_mean, G_WST0_std, G_WST4_mean, G_WST5_mean, G_WST8_mean, B_WST0_mean, B_WST0_std"
clean,small,2,advanced_stats,0.985185,0.02963,"R_iqr, G_iqr;R_iqr, G_mad;R_grad_mean, B_cv"
clean,small,2,hybrid,0.97037,0.043192,"R_iqr, G_iqr;R_iqr, G_mad;B_WST15_std, B_WST16_mean"
clean,small,2,wst,0.925926,0.089053,"R_std, R_WST18_mean;R_WST0_std, G_WST0_std;B_WST15_std, B_WST16_mean"
clean,small,5,advanced_stats,0.97037,0.044444,"R_min, R_iqr, R_mad, G_iqr, G_mad;R_iqr, G_min, G_iqr, G_mad, B_min;R_mad, R_grad_mean, G_grad_mean, B_cv, B_grad_mean"
clean,small,5,hybrid,0.962963,0.02963,"R_min, R_iqr, R_mad, G_iqr, G_mad;R_iqr, G_min, G_iqr, G_mad, B_min;R_WST16_mean, G_WST16_mean, B_WST2_mean, B_WST15_std, B_WST16_mean"
clean,small,5,wst,0.940741,0.051104,"R_std, G_std, R_WST3_mean, R_WST18_mean, R_WST19_mean;G_std, R_WST0_std, R_WST8_mean, G_WST0_std, G_WST8_mean;R_WST16_mean, G_WST16_mean, B_WST2_mean, B_WST15_std, B_WST16_mean"
clean,small,10,advanced_stats,0.948148,0.060675,"R_std, R_min, R_iqr, R_mad, G_min, G_p10, G_iqr, G_mad, B_min, B_p10;R_min, R_iqr, R_mad, G_min, G_range, G_iqr, G_mad, B_min, B_cv, B_p10;R_std, R_var, R_mad, R_grad_mean, G_range, G_cv, G_iqr, G_grad_mean, B_cv, B_grad_mean"
clean,small,10,hybrid,0.940741,0.056383,"R_std, R_min, R_iqr, R_mad, G_min, G_p10, G_iqr, G_mad, B_min, B_p10;R_min, R_iqr, R_mad, G_min, G_range, G_iqr, G_mad, B_min, B_cv, B_p10;R_WST16_mean, G_WST2_mean, G_WST6_mean, G_WST14_mean, G_WST16_mean, G_WST18_mean, B_WST2_mean, B_WST15_std, B_WST16_mean, B_WST18_mean"
clean,small,10,wst,0.940741,0.056383,"R_std, G_std, R_WST0_std, R_WST3_mean, R_WST4_mean, R_WST7_mean, R_WST8_mean, R_WST18_mean, R_WST19_mean, G_WST0_std;R_std, G_std, R_WST0_std, R_WST4_mean, R_WST5_mean, R_WST6_mean, R_WST8_mean, G_WST0_std, G_WST8_mean, B_WST0_std;R_WST16_mean, G_WST2_mean, G_WST6_mean, G_WST14_mean, G_WST16_mean, G_WST18_mean, B_WST2_mean, B_WST15_std, B_WST16_mean, B_WST18_mean"
clean,small,20,advanced_stats,0.948148,0.065918,"R_std, R_var, R_min, R_range, R_cv, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_min, G_range, G_cv, G_p10, G_iqr, G_mad, B_min, B_cv, B_p10, B_p25;R_std, R_var, R_min, R_cv, R_p10, R_iqr, R_mad, G_std, G_var, G_min, G_range, G_cv, G_iqr, G_mad, B_min, B_cv, B_p10, B_p25, B_iqr, B_mad;R_std, R_var, R_range, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_range, G_cv, G_iqr, G_mad, G_grad_mean, B_std, B_var, B_max, B_range, B_cv, B_mad, B_grad_mean"
clean,small,20,hybrid,0.955556,0.047942,"R_std, R_var, R_min, R_cv, R_iqr, R_mad, R_grad_mean, G_std, G_min, G_range, G_cv, G_p10, G_iqr, G_mad, B_min, B_p10, B_p25, R_WST3_mean, R_WST18_mean, R_WST19_mean;R_min, R_cv, R_p10, R_iqr, R_mad, G_std, G_var, G_min, G_range, G_iqr, G_mad, B_min, B_cv, B_p10, B_iqr, B_mad, R_WST0_std, R_WST8_mean, G_WST0_std, G_WST8_mean;R_grad_mean, B_cv, R_WST2_mean, R_WST6_mean, R_WST16_mean, G_WST2_mean, G_WST6_mean, G_WST13_mean, G_WST14_mean, G_WST15_mean, G_WST15_std, G_WST16_mean, G_WST18_mean, G_WST21_std, B_WST2_mean, B_WST6_mean, B_WST15_mean, B_WST15_std, B_WST16_mean, B_WST18_mean"
clean,small,20,wst,0.918519,0.078987,"R_std, G_std, R_WST0_std, R_WST2_mean, R_WST3_mean, R_WST4_mean, R_WST5_mean, R_WST7_mean, R_WST8_mean, R_WST18_mean, R_WST19_mean, R_WST20_mean, R_WST24_mean, G_WST0_std, G_WST2_mean, G_WST3_mean, G_WST4_mean, G_WST5_mean, G_WST8_mean, G_WST18_mean;R_std, G_std, B_mean, B_std, R_WST0_mean, R_WST0_std, R_WST2_mean, R_WST4_mean, R_WST5_mean, R_WST6_mean, R_WST7_mean, R_WST8_mean, R_WST23_mean, G_WST0_std, G_WST2_mean, G_WST4_mean, G_WST6_mean, G_WST8_mean, B_WST0_mean, B_WST0_std;R_WST2_mean, R_WST6_mean, R_WST16_mean, R_WST17_mean, G_WST2_mean, G_WST6_mean, G_WST13_mean, G_WST14_mean, G_WST15_mean, G_WST15_std, G_WST16_mean, G_WST18_mean, G_WST21_std, B_WST2_mean, B_WST6_mean, B_WST13_mean, B_WST15_mean, B_WST15_std, B_WST16_mean, B_WST18_mean"
speckle15,mini,2,advanced_stats,0.844444,0.143322,"R_min, B_min;B_max, B_p10;B_std, B_mad"
speckle15,mini,2,hybrid,0.777778,0.070273,"R_max, B_min;R_max, B_p10;R_wst_std_11, R_wst_std_12"
speckle15,mini,2,wst,0.933333,0.098878,"B_wst_mean_54, B_wst_mean_55;R_wst_mean_33, B_wst_mean_74;R_wst_std_11, B_wst_std_12"
speckle15,mini,5,advanced_stats,0.844444,0.163299,"R_cv, R_iqr, R_mad, B_max, B_p10;R_min, R_max, B_min, B_max, B_p50;R_max, R_iqr, G_range, B_std, B_mad"
speckle15,mini,5,hybrid,0.911111,0.108866,"R_min, R_max, B_max, B_wst_mean_40, B_wst_mean_49;R_max, B_min, B_max, B_p10, B_wst_mean_52;R_wst_std_10, R_wst_std_11, R_wst_std_12, G_wst_mean_10, G_wst_std_13"
speckle15,mini,5,wst,0.955556,0.088889,"R_wst_std_78, B_wst_mean_19, B_wst_mean_30, B_wst_mean_48, B_wst_std_76;R_wst_mean_33, R_wst_mean_49, B_wst_mean_22, B_wst_mean_75, B_wst_mean_79;R_wst_std_10, R_wst_std_11, R_wst_std_12, G_wst_mean_10, G_wst_std_12"
speckle15,mini,10,advanced_stats,0.888889,0.127592,"R_std, R_cv, R_iqr, R_mad, B_min, B_max, B_cv, B_p10, B_p25, B_p50;R_min, R_max, G_std, B_mean, B_min, B_max, B_p10, B_p25, B_p50, B_p75;R_max, R_iqr, R_mad, R_grad_mean, G_max, B_std, B_var, B_iqr, B_mad, B_grad_mean"
speckle15,mini,10,hybrid,0.911111,0.108866,"B_min, B_max, B_wst_mean_19, B_wst_mean_20, B_wst_mean_47, B_wst_mean_48, B_wst_mean_54, B_wst_mean_55, B_wst_mean_62, B_wst_std_76;R_min, B_mean, B_min, B_max, B_p10, B_p25, B_p50, R_wst_mean_33, B_wst_mean_52, B_wst_mean_74;R_max, R_wst_std_10, R_wst_std_11, R_wst_std_12, R_wst_std_13, G_wst_mean_10, G_wst_std_11, G_wst_std_12, G_wst_std_13, B_wst_std_13"
speckle15,mini,10,wst,0.888889,0.153311,"B_wst_mean_19, B_wst_mean_20, B_wst_mean_40, B_wst_mean_47, B_wst_mean_48, B_wst_mean_54, B_wst_mean_55, B_wst_mean_56, B_wst_mean_62, B_wst_std_76;R_wst_mean_33, R_wst_mean_49, R_wst_mean_69, B_wst_mean_0, B_wst_mean_38, B_wst_mean_52, B_wst_mean_74, B_wst_mean_75, B_wst_mean_77, B_wst_mean_78;R_wst_std_0, R_wst_std_10, R_wst_std_11, R_wst_std_12, G_wst_mean_10, G_wst_mean_11, G_wst_std_12, G_wst_std_13, B_wst_std_12, B_wst_std_13"
speckle15,mini,20,advanced_stats,0.8,0.16915,"R_std, R_var, R_min, R_max, R_range, R_cv, R_p10, R_iqr, R_mad, G_std, G_var, G_mad, B_mean, B_min, B_max, B_cv, B_p10, B_p25, B_p50, B_p75;R_mean, R_min, R_max, R_p10, R_p50, R_p75, R_p90, R_mad, G_std, G_var, G_mad, B_mean, B_min, B_max, B_cv, B_p10, B_p25, B_p50, B_p75, B_p90;R_std, R_var, R_max, R_range, R_iqr, R_mad, R_grad_mean, G_var, G_range, G_grad_mean, B_mean, B_std, B_var, B_skew, B_kurt, B_p50, B_p75, B_iqr, B_mad, B_grad_mean"
speckle15,mini,20,hybrid,0.911111,0.108866,"R_max, R_cv, B_max, B_cv, B_p10, R_wst_std_78, B_wst_mean_19, B_wst_mean_20, B_wst_mean_21, B_wst_mean_30, B_wst_mean_31, B_wst_mean_40, B_wst_mean_48, B_wst_mean_49, B_wst_mean_54, B_wst_mean_55, B_wst_mean_57, B_wst_mean_62, B_wst_mean_77, B_wst_std_76;R_min, R_max, B_min, B_max, B_p10, B_p25, R_wst_mean_33, R_wst_mean_69, G_wst_std_0, B_wst_mean_0, B_wst_mean_19, B_wst_mean_22, B_wst_mean_23, B_wst_mean_52, B_wst_mean_74, B_wst_mean_75, B_wst_mean_78, B_wst_mean_79, B_wst_std_22, B_wst_std_31;R_max, R_wst_mean_10, R_wst_mean_12, R_wst_std_0, R_wst_std_10, R_wst_std_11, R_wst_std_12, R_wst_std_13, R_wst_std_44, G_wst_mean_9, G_wst_mean_10, G_wst_mean_11, G_wst_std_11, G_wst_std_12, G_wst_std_13, B_wst_mean_9, B_wst_mean_13, B_wst_std_12, B_wst_std_13, B_wst_std_72"
speckle15,mini,20,wst,0.866667,0.153311,"R_wst_mean_49, R_wst_std_78, B_wst_mean_0, B_wst_mean_18, B_wst_mean_19, B_wst_mean_20, B_wst_mean_21, B_wst_mean_30, B_wst_mean_31, B_wst_mean_40, B_wst_mean_47, B_wst_mean_48, B_wst_mean_49, B_wst_mean_54, B_wst_mean_55, B_wst_mean_56, B_wst_mean_62, B_wst_mean_64, B_wst_mean_76, B_wst_std_76;R_wst_mean_33, R_wst_mean_44, R_wst_mean_45, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_18, B_wst_mean_21, B_wst_mean_22, B_wst_mean_23, B_wst_mean_31, B_wst_mean_52, B_wst_mean_73, B_wst_mean_74, B_wst_mean_75, B_wst_mean_78, B_wst_mean_79, B_wst_std_22, B_wst_std_31, B_wst_std_32;R_wst_mean_10, R_wst_std_0, R_wst_std_4, R_wst_std_5, R_wst_std_10, R_wst_std_11, R_wst_std_12, R_wst_std_13, G_wst_mean_9, G_wst_mean_10, G_wst_mean_11, G_wst_std_10, G_wst_std_11, G_wst_std_12, G_wst_std_13, B_wst_mean_9, B_wst_mean_14, B_wst_std_12, B_wst_std_13, B_wst_std_72"
speckle15,original,2,advanced_stats,0.931884,0.056429,"R_cv, G_cv"
speckle15,original,2,advanced_stats,0.983333,0.033333,"B_cv, B_grad_mean"
speckle15,original,2,advanced_stats,1.0,0.0,"G_mad, B_cv"
speckle15,original,2,hybrid,0.931884,0.056429,"R_cv, G_cv"
speckle15,original,2,hybrid,0.983333,0.033333,"B_cv, R_wst_std_0"
speckle15,original,2,hybrid,1.0,0.0,"G_mad, B_cv"
speckle15,original,2,wst,0.888406,0.042402,"R_wst_std_0, G_wst_std_0"
speckle15,original,2,wst,0.95,0.03118,"R_wst_std_0, G_wst_std_13"
speckle15,original,2,wst,0.942,0.020694,"R_wst_std_0, G_wst_std_0"
speckle15,original,5,advanced_stats,0.922826,0.030821,"R_cv, G_cv, G_iqr, G_mad, B_cv"
speckle15,original,5,advanced_stats,0.983333,0.033333,"R_mad, G_cv, B_cv, B_p25, B_grad_mean"
speckle15,original,5,advanced_stats,1.0,0.0,"R_cv, G_var, G_iqr, G_mad, B_cv"
speckle15,original,5,hybrid,0.948913,0.049046,"R_cv, G_cv, G_mad, B_cv, R_wst_std_0"
speckle15,original,5,hybrid,0.983333,0.033333,"B_cv, R_wst_std_0, G_wst_std_12, G_wst_std_13, B_wst_mean_13"
speckle15,original,5,hybrid,1.0,0.0,"R_cv, G_var, G_iqr, G_mad, B_cv"
speckle15,original,5,wst,0.914493,0.059473,"R_wst_std_0, G_wst_mean_6, G_wst_mean_29, G_wst_std_0, B_wst_mean_50"
speckle15,original,5,wst,0.975,0.020412,"R_wst_std_0, G_wst_std_12, G_wst_std_13, B_wst_mean_11, B_wst_mean_13"
speckle15,original,5,wst,0.967,0.031098,"R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_20, B_wst_mean_48"
speckle15,original,10,advanced_stats,0.940217,0.042655,"R_cv, R_iqr, R_mad, G_std, G_var, G_cv, G_iqr, G_mad, B_min, B_cv"
speckle15,original,10,advanced_stats,0.975,0.033333,"R_std, R_range, R_iqr, R_mad, G_cv, B_cv, B_p10, B_p25, B_p75, B_grad_mean"
speckle15,original,10,advanced_stats,0.992,0.016,"R_cv, R_p10, G_std, G_var, G_cv, G_iqr, G_mad, B_cv, B_p10, B_p25"
speckle15,original,10,hybrid,0.922826,0.041304,"R_cv, R_mad, G_std, G_var, G_cv, G_iqr, G_mad, B_cv, R_wst_std_0, G_wst_std_0"
speckle15,original,10,hybrid,0.975,0.020412,"B_cv, B_grad_mean, R_wst_std_0, G_wst_mean_9, G_wst_mean_13, G_wst_std_12, G_wst_std_13, B_wst_mean_11, B_wst_mean_12, B_wst_mean_13"
speckle15,original,10,hybrid,0.991667,0.016667,"R_cv, R_p10, G_std, G_var, G_iqr, G_mad, B_cv, B_p10, R_wst_std_0, G_wst_std_0"
speckle15,original,10,wst,0.923188,0.055301,"R_wst_mean_6, R_wst_mean_44, R_wst_mean_53, R_wst_mean_63, R_wst_std_0, G_wst_mean_6, G_wst_mean_29, G_wst_std_0, B_wst_mean_30, B_wst_mean_50"
speckle15,original,10,wst,0.966667,0.03118,"R_wst_std_0, G_wst_mean_9, G_wst_mean_13, G_wst_std_12, G_wst_std_13, B_wst_mean_11, B_wst_mean_12, B_wst_mean_13, B_wst_std_10, B_wst_std_11"
speckle15,original,10,wst,0.958667,0.045648,"R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_20, B_wst_mean_21, B_wst_mean_41, B_wst_mean_48, B_wst_mean_56, B_wst_mean_75, B_wst_std_0"
speckle15,original,20,advanced_stats,0.931522,0.042876,"R_std, R_var, R_min, R_cv, R_p75, R_iqr, R_mad, G_std, G_var, G_min, G_cv, G_p10, G_p25, G_iqr, G_mad, B_min, B_cv, B_p10, B_p25, B_p50"
speckle15,original,20,advanced_stats,0.975,0.033333,"R_std, R_var, R_range, R_iqr, R_mad, G_std, G_var, G_cv, G_iqr, G_mad, B_mean, B_std, B_var, B_range, B_cv, B_p10, B_p25, B_p75, B_mad, B_grad_mean"
speckle15,original,20,advanced_stats,0.983667,0.020011,"R_mean, R_std, R_var, R_min, R_cv, R_p10, R_p25, R_p50, R_iqr, G_std, G_var, G_cv, G_iqr, G_mad, B_mean, B_min, B_cv, B_p10, B_p25, B_p50"
speckle15,original,20,hybrid,0.931522,0.042876,"R_std, R_var, R_min, R_cv, R_iqr, R_mad, G_std, G_var, G_cv, G_p10, G_iqr, G_mad, B_min, B_cv, B_p10, B_p25, R_wst_std_0, G_wst_mean_6, G_wst_mean_29, G_wst_std_0"
speckle15,original,20,hybrid,0.975,0.020412,"B_cv, B_grad_mean, R_wst_mean_11, R_wst_std_0, R_wst_std_11, R_wst_std_12, R_wst_std_16, G_wst_mean_9, G_wst_mean_13, G_wst_std_11, G_wst_std_12, G_wst_std_13, B_wst_mean_10, B_wst_mean_11, B_wst_mean_12, B_wst_mean_13, B_wst_mean_14, B_wst_std_10, B_wst_std_11, B_wst_std_12"
speckle15,original,20,hybrid,0.975333,0.020149,"R_cv, R_p10, R_p25, R_iqr, G_std, G_var, G_cv, G_iqr, G_mad, B_mean, B_min, B_cv, B_p10, B_p25, B_p50, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_20, B_wst_mean_48"
speckle15,original,20,wst,0.914493,0.044998,"R_wst_mean_6, R_wst_mean_44, R_wst_mean_52, R_wst_mean_53, R_wst_mean_63, R_wst_mean_75, R_wst_mean_76, R_wst_std_0, G_wst_mean_6, G_wst_mean_29, G_wst_mean_48, G_wst_mean_59, G_wst_mean_72, G_wst_mean_78, G_wst_std_0, B_wst_mean_3, B_wst_mean_29, B_wst_mean_30, B_wst_mean_48, B_wst_mean_50"
speckle15,original,20,wst,0.966667,0.03118,"R_wst_mean_11, R_wst_mean_12, R_wst_std_0, R_wst_std_11, R_wst_std_12, R_wst_std_16, G_wst_mean_9, G_wst_mean_13, G_wst_std_11, G_wst_std_12, G_wst_std_13, B_wst_mean_10, B_wst_mean_11, B_wst_mean_12, B_wst_mean_13, B_wst_mean_14, B_wst_std_10, B_wst_std_11, B_wst_std_12, B_wst_std_14"
